1	503	293
2	504	258
3	502	225
4	500	189
5	499	155
6	480	125
7	432	103
8	395	92
9	360	97
10	322	116
11	523	128
12	545	106
13	578	84
14	616	82
15	653	90
16	681	115
17	705	140
18	531	311
19	562	339
20	591	361
21	623	384
22	666	393
23	722	391
24	745	377
25	762	353
26	777	328
27	654	415
28	685	436
29	715	447
30	752	452
31	803	449
32	831	427
33	856	399
34	489	317
35	473	336
36	455	357
37	425	391
38	403	412
39	377	428
40	340	430
41	303	429
42	266	416
43	239	403
44	218	376
45	367	451
46	340	468
47	311	482
48	272	491
49	235	491
50	201	485
51	175	452
52	513	334
53	516	370
54	518	409
55	520	463
56	521	505
57	506	534
58	478	556
59	440	581
60	393	610
61	555	531
62	596	555
63	60	573
64	679	600 
